Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 12/21  14:15:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06719858808789,-18.250789213649918,-18.94044352361442,-18.781760808230929,-19.147094434571977 
 12/21  14:30:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.067211335083035,-18.25078977756087,-18.94045157301906,-18.78176409814779,-19.147107833696965 
 12/21  14:45:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.067224027568679,-18.250790339060413,-18.940459588002683,-18.781767373994656,-19.14712117555108 
 12/21  15:00:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06723666577788,-18.25079089815885,-18.94046756872035,-18.781770635837519,-19.147134460378905 
 12/21  15:15:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06724924994264,-18.250791454866449,-18.940475515314178,-18.781773883734105,-19.14714768842396 
 12/21  15:30:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06726178029396,-18.250792009193427,-18.940483427929679,-18.781777117742537,-19.147160859928733 
 12/21  15:45:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.067274257061908,-18.250792561149955,-18.940491306717776,-18.781780337923409,-19.14717397513468 
 12/21  16:00:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.067286680475516,-18.250793110746174,-18.940499151819723,-18.781783544336919,-19.147187034282255 
 12/21  16:15:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06729905076289,-18.250793657992177,-18.94050696337257,-18.781786737038659,-19.14720003761084 
 12/21  16:30:00,-16.0,0.0,1.0,0.0,1.0,0.0,0.0,-19.06731136815112,-18.250794202897997,-18.94051474152974,-18.781789916090078,-19.147212985358814 
 12/21  16:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067323632866314,-18.25079474547364,-18.940522486431577,-18.781793081549098,-19.14722587776355 
 12/21  17:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067335845133657,-18.250795285729088,-18.940530198213425,-18.781796233471256,-19.147238715061407 
 12/21  17:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067348005177374,-18.250795823674243,-18.940537877031376,-18.78179937192175,-19.147251497487735 
 12/21  17:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067360113220667,-18.25079635931896,-18.940545523007246,-18.781802496946285,-19.14726422527687 
 12/21  17:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06737216948585,-18.250796892673106,-18.940553136293205,-18.781805608611877,-19.14727689866215 
 12/21  18:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06738417419428,-18.25079742374647,-18.94056071702815,-18.78180870697281,-19.147289517875909 
 12/21  18:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067396127566324,-18.250797952548778,-18.94056826535322,-18.781811792086957,-19.14730208314953 
 12/21  18:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067408029821455,-18.250798479089754,-18.940575781400299,-18.78181486400854,-19.147314594713394 
 12/21  18:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06741988117822,-18.25079900337908,-18.940583265310523,-18.781817922795086,-19.14732705279688 
 12/21  19:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06743168185417,-18.25079952542635,-18.940590717218897,-18.781820968499745,-19.147339457628389 
 12/21  19:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067443432065955,-18.250800045241165,-18.940598137268638,-18.78182400118402,-19.147351809435368 
 12/21  19:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06745513202932,-18.250800562833068,-18.940605525590287,-18.781827020902428,-19.147364108444294 
 12/21  19:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06746678195905,-18.250801078211557,-18.940612882320069,-18.781830027705867,-19.147376354880654 
 12/21  20:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067478382069099,-18.250801591386116,-18.940620207592873,-18.781833021652859,-19.147388548968985 
 12/21  20:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067489932572355,-18.250802102366117,-18.940627501549785,-18.78183600280056,-19.147400690932878 
 12/21  20:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06750143368096,-18.250802611160997,-18.94063476431387,-18.78183897119837,-19.14741278099498 
 12/21  20:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067512885606047,-18.25080311778007,-18.940641996024625,-18.781841926907135,-19.14742481937697 
 12/21  21:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067524288557867,-18.250803622232636,-18.940649196815344,-18.781844869974834,-19.147436806299579 
 12/21  21:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067535642745776,-18.250804124527954,-18.940656366819839,-18.781847800461664,-19.147448741982609 
 12/21  21:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067546948378284,-18.25080462467527,-18.940663506160065,-18.78185071841338,-19.147460626644916 
 12/21  21:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067558205662946,-18.250805122683745,-18.940670614972903,-18.781853623888766,-19.147472460504415 
 12/21  22:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067569414806426,-18.250805618562518,-18.94067769339273,-18.781856516941106,-19.147484243778096 
 12/21  22:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067580576014544,-18.25080611232071,-18.940684741547984,-18.781859397623835,-19.14749597668204 
 12/21  22:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06759168949224,-18.250806603967388,-18.940691759562357,-18.78186226598757,-19.147507659431409 
 12/21  22:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067602755443553,-18.250807093511555,-18.94069874757031,-18.78186512208876,-19.14751929224042 
 12/21  23:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06761377407168,-18.25080758096223,-18.940705705699174,-18.78186796597558,-19.147530875322404 
 12/21  23:15:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06762474557892,-18.250808066328337,-18.94071263407392,-18.781870797702369,-19.147542408889753 
 12/21  23:30:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067635670166728,-18.250808549618804,-18.940719532823779,-18.78187361732006,-19.147553893153977 
 12/21  23:45:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.067646548035666,-18.250809030842495,-18.940726402073979,-18.781876424880296,-19.14756532832567 
 12/21  24:00:00,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.06765737938549,-18.250809510008254,-18.940733241956509,-18.78187922043861,-19.147576714614546 
 07/21  00:15:00,19.908,0.0,0.0,0.0,0.0,0.0,0.0,31.68755649663638,18.502473486109858,26.88538091276064,21.32016366852855,32.46364336392983 
 07/21  00:30:00,19.68,0.0,0.0,0.0,0.0,0.0,0.0,31.58317574728506,18.282402344991469,26.743142841069415,21.128462281793874,32.36584060411522 
 07/21  00:45:00,19.452,0.0,0.0,0.0,0.0,0.0,0.0,31.478526967795064,18.06234563880368,26.600615180460126,20.936667547630124,32.26795854606887 
 07/21  01:00:00,19.224000000000005,0.0,0.0,0.0,0.0,0.0,0.0,31.37345081107251,17.842270138649849,26.45788955192222,20.74477110779742,32.16966460133979 
 07/21  01:15:00,19.072000000000004,0.0,0.0,0.0,0.0,0.0,0.0,31.27525462827208,17.694790826408754,26.341344874759103,20.606175996338096,32.07231425132395 
 07/21  01:30:00,18.92,0.0,0.0,0.0,0.0,0.0,0.0,31.176525527087269,17.547222638008269,26.22673555448233,20.47018068907039,31.97639561867955 
 07/21  01:45:00,18.768,0.0,0.0,0.0,0.0,0.0,0.0,31.078265419923409,17.399709021150817,26.11217946722138,20.334300051036509,31.88135249442507 
 07/21  02:00:00,18.616,0.0,0.0,0.0,0.0,0.0,0.0,30.980150096956498,17.252184973588247,25.997852114177478,20.198513684234628,31.786523975048906 
 07/21  02:15:00,18.502000000000004,0.0,0.0,0.0,0.0,0.0,0.0,30.885652853434839,17.14097165276808,25.896786586377858,20.089461229424275,31.692314927170778 
